Match;Joueur;Classement;Scores
1;Marin;5,0;0
1;Colas;3,0;2
2;LL;4,0;1
2;Colas;3,0;3
3;KRa;1,0;0
3;Colas;3,0;2
4;Marin;5,0;2
4;LL;4,0;1
5;LL;4,0;3
5;Marin;5,0;2
6;LL;4,0;3
6;Marin;5,0;1
7;Sutter;7,0;2
7;Gessien;6,0;3
8;KRa;1,0;2
8;Gessien;6,0;0
9;Mateos;2,0;3
9;Sutter;7,0;0
10;KRa;1,0;3
10;Mateos;2,0;0
11;KRa;1,0;3
11;Mateos;2,0;0
12;KRa;1,0;2
12;LL;4,0;0
13;KRa;1,0;2
13;Marin;5,0;0
14;KRa;1,0;3
14;Mateos;6,0;0
15;KRa;1,0;3
15;Mateos;6,0;0
16;KRa;1,0;3
16;Mateos;6,0;1
17;Colas;2,0;3
17;Gessien;6,0;1
18;KRa;1,0;3
18;PLN;8,0;0
19;KRa;1,0;3
19;PLN;8,0;0
20;Marin;4,0;2
20;Gessien;6,0;3
21;Marin;4,0;2
21;PLN;8,0;3
22;Colas;2,0;1
22;Gessien;4,0;1
23;Colas;2,0;1
23;Marin;5,0;2
24;Colas;2,0;2
24;LL;3,0;0
25;Colas;2,0;2
25;Sutter;8,0;0
26;Gessien;4,0;2
26;LL;3,0;0
27;Gessien;4,0;1
27;Sutter;8,0;1
28;Gessien;4,0;1
28;Marin;5,0;0
29;Marin;5,0;1
29;LL;3,0;1
30;Sutter;8,0;1
30;LL;3,0;0
31;Marin;5,0;2
31;Sutter;8,0;1
32;Mateos;6,0;2
32;Toujouse;9,0;3
33;Mateos;6,0;2
33;Toujouse;9,0;3
34;Mateos;6,0;1
34;Toujouse;9,0;0
35;KRa;1,0;3
35;Mateos;6,0;0
36;KRa;1,0;3
36;Mateos;6,0;0
37;KRa;1,0;1
37;Mateos;6,0;1
38;KRa;1,0;3
38;LL;5,0;0
39;KRa;1,0;1
39;LL;5,0;0
40;Mateos;6,0;3
40;LL;5,0;0
41;Mateos;6,0;0
41;LL;5,0;1
42;Xavier;10,0;0
42;Alice;11,0;3
43;Xavier;10,0;3
43;Alice;11,0;2
44;LL;6,0;3
44;Sutter;10,0;2
45;KRa;1,0;3
45;Mateos;4,0;0
46;KRa;1,0;3
46;Mateos;4,0;1
47;KRa;1,0;3
47;Mateos;4,0;2
48;KRa;1,0;1
48;Mateos;4,0;0
49;KRa;1,0;3
49;PLN;10,0;0
50;KRa;1,0;3
50;PLN;10,0;0
51;KRa;1,0;3
51;PLN;10,0;0
52;Sutter;7,0;0
52;Mateos;2,0;3
53;Sutter;7,0;0
53;Mateos;2,0;3
54;Sutter;7,0;1
54;Mateos;2,0;3
55;PLN;10,0;1
55;KRa;1,0;3
56;PLN;10,0;0
56;KRa;1,0;3
57;PLN;10,0;0
57;KRa;1,0;3
58;KRa;1,0;3
58;Mateos;2,0;0
59;KRa;1,0;3
59;Mateos;2,0;2
60;KRa;1,0;3
60;Mateos;2,0;1
61;KRa;1,0;1
61;Mateos;2,0;0
62;Colas;3,0;3
62;Sutter;7,0;0
63;Colas;3,0;2
63;Sutter;7,0;1
